Date,US_Tech_Equity,US_Healthcare_Equity,US_Financials_Equity,US_Energy_Equity,US_Consumer_Equity,European_Equity,Emerging_Markets_Equity,US_Govt_Bonds,US_Corporate_Bonds,Global_Bonds,REIT,Gold,Commodities,Money_Market
2021-01-01,-0.07399699596230959,-0.034863571505804714,-0.06944265997723068,0.020744463877011485,-0.049269732324299556,-0.010664741263718452,-0.0034956208836136315,-0.004044490491448543,-0.036055156985026135,-0.02520070188147594,-0.041460668546705576,0.015743715138108287,-0.08563004289614252,0.0022265077902128326
2021-02-01,0.08012599593519809,0.05332934346143976,0.034705440791997305,-0.00875270063491734,0.05005507226922052,0.10263840514570538,0.01892767405047948,-0.004698867155899206,0.012266491045508096,0.02211707633884145,0.01252960324969915,-0.05224704837141802,0.03793037105311474,0.002417265326947295
2021-03-01,-0.03588246706832833,-0.02469985448092605,-0.06592284971185317,-0.031515005129731224,0.0011599334816386475,-0.04415160383672738,-0.07999138433485985,0.03580136774506637,0.028470627347123183,0.031848482397848085,0.05483110404987632,0.04811018293300542,0.07072204802439243,0.005476562107700904
2021-04-01,-0.04476092921311813,-0.028343703168100164,-0.021181929552514092,-0.045525870591917955,-0.04757579491299468,-0.017921248284007502,0.036851185538504486,-0.0017641300388756957,-0.03001507253089303,-0.0214070807643058,0.013582519800158035,-0.005611172977153348,-0.051357966074733266,-9.765465819173828e-05
2021-05-01,-0.012990505844387447,0.02289122585144985,-0.009330395216699587,-0.027754157092923795,0.047500574891464115,-0.03943978478594263,0.023288574424992967,-0.008409983517185752,0.005638778303931389,0.01031929858929226,0.020379869217726682,0.052085832588976894,0.02784421871755891,0.0022296228388190733
2021-06-01,-0.01697453919859781,-0.00895516384089033,-0.08474908847427948,-0.03233717136979281,-0.027132901552552477,-0.007923930270942892,-0.060194152001329326,0.006347979282820843,0.0017935558904767575,0.028872282409818557,-0.013354014418289744,-0.032629181092150475,0.23097173369170798,-0.000932360189341633
2021-07-01,-0.05685902940345918,0.0011483661452389255,-0.030978468067431097,-0.05550596028751547,0.007141857887513453,0.019344156436762787,0.012576266521198715,-0.02263673267183916,-0.03905040963368081,-0.0031655827844827684,-0.05290394372356298,0.0488548492539429,-0.08793451619991696,0.002520774025236917
2021-08-01,0.0996337871392539,0.0527052637629655,0.04819526019641852,0.16797174368373144,0.07069953963959036,0.09571341319571365,0.17483342617371042,-0.018212118774512443,-0.03066660851294734,-0.0035086657051975182,0.049675362831792136,0.013307404666363092,0.06956259964790028,0.0022251726424082066
2021-09-01,0.09223224359033494,0.001669943901923862,0.04760113417426058,0.19828742468739338,0.05658880727085033,-0.001926734206837098,0.03558400834187116,0.013633741393348,0.023782842115366826,-0.024921759899052636,-0.041640982724597035,0.02172835538905208,0.08807416199928811,5.863331025226419e-05
2021-10-01,0.0929289548226677,-0.00930783884009802,0.07817876707623195,0.06484343445277156,0.020470649639478228,-0.05423921556290378,-0.028890270981047256,-0.00040097152803412117,0.009924887618104101,-0.0020697337883114008,0.0014328116607144727,-0.01555855557866348,-0.07830107354370046,0.000902245995524812
